Name_in_SNP_spread,Collection number,Description,Mountain_range,Tidy_label,Retain_for_small_tree,Pretty_order,Determination_verbatim,Determination,Species,Latitude,Longitude,Is_duplicate,Duplicate_details,Order_for_taxa_comparison,Order_glandulosa_taxa,Order_for_MtnRange_and_Location
44,AS 42880,Santa Monica,SMON,Santa_Mons_1,TRUE,1,glandulosa sub glandulosa,glandulosa subsp. glandulosa,glandulosa,34.08667,-118.65733,F,,59,57,84
45,AS 42880,Santa Monica,SMON,Santa_Mons_2,FALSE,2,glandulosa sub glandulosa,glandulosa subsp. glandulosa,glandulosa,34.08667,-118.65733,F,,60,58,85
32,YH 3,SanGabriel,SGAB,San_Gabes_1,TRUE,3,glandulosa sub gabrielensis,glandulosa subsp. gabrielensis,glandulosa,34.39107,-118.08167,F,,17,15,58
33,YH 4,SanGabriel,SGAB,San_Gabes_2,FALSE,4,glandulosa sub gabrielensis,glandulosa subsp. gabrielensis,glandulosa,34.39107,-118.08167,F,,18,16,59
34,YH 5,SanGabriel,SGAB,San_Gabes_3,FALSE,5,glandulosa sub gabrielensis,glandulosa subsp. gabrielensis,glandulosa,34.39107,-118.08167,F,,19,17,60
35,YH 7,SanGabriel,SGAB,San_Gabes_4,FALSE,6,glandulosa sub gabrielensis,glandulosa subsp. gabrielensis,glandulosa,34.39107,-118.08167,F,,20,18,61
MC4,,SanGabriel,SGAB,San_Gabes_5,FALSE,7,glandulosa subsp. gabrielensis,glandulosa subsp. gabrielensis,glandulosa,34.39107,-118.08167,F,,21,19,62
15,AS 42870,SanBernardinoMtns1st,SBERN,San_Berns_1_1,TRUE,8,glandulosa sub glandulosa?mollis,glandulosa subsp. glandulosa,glandulosa,34.21667,-117.28444,F,,33,31,48
42813,AS 42813,SanBernardinoMtns2nd,SBERN,San_Berns_1_2,FALSE,9,glandulosa subsp. glandulosa,glandulosa subsp. glandulosa,glandulosa,34.2275,-117.27528,F,,41,39,57
16,AS 42871,SanBernardinoMtns2nd,SBERN,San_Berns_1_3,FALSE,10,glandulosa sub glandulosa?mollis,glandulosa subsp. glandulosa,glandulosa,34.2275,-117.27528,F,,34,32,49
