sample_ID,Latitude,Longitude
1,33.29855,-116.890167
2,33.29855,-116.890167
3,33.29855,-116.890167
4,33.107917,-116.6684
5,33.107917,-116.6684
6,33.107917,-116.6684
7,33.099183,-116.6632
8,33.66115,-117.426
9,33.66115,-117.426
10,33.66115,-117.426
11,33.66115,-117.426
12,33.66207,-117.426
13,33.66115,-117.448
14,33.66115,-117.448
15,34.21667,-117.284
16,34.2275,-117.275
17,34.2275,-117.275
18,34.2275,-117.275
19,34.2275,-117.275
20,34.19306,-117.154
21,34.19306,-117.154
22,34.19306,-117.154
23,34.19306,-117.154
24,33.51258,-117.343
25,33.51258,-117.343
26,33.51258,-117.343
27,32.96442,-117.236
28,32.96442,-117.236
29,32.96442,-117.236
30,33.09863,-116.665
31,33.09863,-116.665
32,34.39107,-118.082
33,34.39107,-118.082
34,34.39107,-118.082
35,34.39107,-118.082
36,33.29855,-116.89
37,33.29855,-116.89
38,33.29855,-116.89
39,33.29855,-116.89
40,33.29855,-116.89
41,32.87935,-116.585
42,33.51333,-117.343
43,33.51333,-117.343
44,34.08889,-118.662
45,34.08889,-118.662
46,33.80571,-116.786
47,33.80571,-116.786
48,33.80571,-116.786
49,33.80571,-116.786
50,33.80571,-116.786
51,33.51734,-116.501
52,33.51734,-116.501
53,33.51734,-116.501
54,33.51734,-116.501
55,33.51734,-116.501
56,33.51734,-116.501
57,33.70309,-116.739
58,33.70309,-116.739
59,33.70309,-116.739
60,33.70309,-116.739
61,33.70309,-116.739
62,32.78767,-116.449
63,32.78767,-116.449
64,32.78767,-116.449
65,32.78767,-116.449
66,32.8799,-116.584
67,32.8799,-116.584
68,32.8799,-116.584
69,32.8799,-116.584
70,32.8799,-116.584
71,33.04638,-116.568
72,33.04638,-116.568
73,33.04638,-116.568
74,33.04638,-116.568
75,37.83976,-122.18935
76,34.5134,-119.80398
77,31.88563,-116.32164
78,31.88563,-116.32164
79,31.88333,-116.38484
80,35.28678,-120.47163
81,38.36243,-122.47189
82,38.95605,-123.10713
83,37.96373,-122.62593
84,37.96373,-122.62593
85,37.91098,-122.57745
86,32.61653,-116.84272
87,32.95009,-117.2538
88,32.95009,-117.2538
89,32.95009,-117.2538
90,33.03599,-117.24865
91,31.52299,-116.33768
92,31.52299,-116.33768
93,31.63191,-116.49792
94,31.63191,-116.49792
95,33.808,-116.777
96,33.808,-116.777
A1,34.56488,-119.67302
A2,34.56488,-119.67302
A3,34.56488,-119.67302
A4,34.47715,-119.67995
A5,34.47715,-119.67995
A6,34.47715,-119.67995
A7,34.47715,-119.67995
A8,34.49602,-119.69956
A9,34.49938,-119.71903
B1,34.49938,-119.71903
B2,34.49938,-119.71903
B3,34.72134,-119.9446
B4,34.72186,-119.94405
B5,34.72192,-119.94397
B6,34.72248,-119.94332
B7,34.71755,-119.9333
B8,34.71755,-119.9333
B9,34.47715,-119.67995
C1,33.04478,-117.26659
C2,33.04443,-117.26681
C3,33.04437,-117.26692
C4,33.04433,-117.26693
C5,33.04424,-117.26672
C6,34.08889,-118.662
C7,34.08889,-118.662
C8,34.08889,-118.662
C9,34.08889,-118.662
D1,34.08889,-118.662
D2,34.08889,-118.662
